,idf1,idp,idr,recall,precision,num_unique_objects,mostly_tracked,partially_tracked,mostly_lost,num_false_positives,num_misses,num_switches,num_fragmentations,mota,motp,num_transfer,num_ascend,num_migrate
148-5_1138474,0.088,0.7857142857142857,0.046610169491525424,0.059322033898305086,1.0,7,0,0,7,0,222,5,4,0.03813559322033899,0.025696804411127077,1,3,0
176-5_1138951,0.24533161622665808,0.40705128205128205,0.17557603686635945,0.4271889400921659,0.9903846153846154,15,2,8,5,9,1243,77,89,0.38755760368663594,0.05464818817807548,6,69,1
3_1142721,0.19710144927536233,0.43037974683544306,0.12781954887218044,0.22180451127819548,0.7468354430379747,3,0,2,1,20,207,6,11,0.12406015037593987,0.05072278623884184,0,6,0
21-5_1254799,0.23151453340132586,0.6796407185628742,0.13952059004302397,0.2052858020897357,1.0,35,3,7,25,0,1293,21,30,0.1923786109403811,0.03408437295183515,2,20,2
128-5_1135999,0.3783783783783784,0.3888888888888889,0.3684210526315789,0.8421052631578947,0.8888888888888888,1,1,0,0,6,9,3,3,0.6842105263157895,0.04852226128268003,0,3,0
2-5_1273145,0.047058823529411764,0.5,0.024691358024691357,0.04938271604938271,1.0,2,0,0,2,0,154,3,3,0.030864197530864224,0.059841967381573394,0,2,0
203-5_1140485,0.05947136563876652,0.48214285714285715,0.03169014084507042,0.06572769953051644,1.0,6,0,0,6,0,796,16,17,0.04694835680751175,0.07950995582725291,1,15,0
101_1_1135531,0.7036328871892925,0.9484536082474226,0.5592705167173252,0.5896656534954408,1.0,14,4,7,3,0,135,5,8,0.574468085106383,0.04948298162277384,1,3,0
223-5_1142456,0.3496143958868895,0.5666666666666667,0.2527881040892193,0.44609665427509293,1.0,2,0,2,0,0,149,7,11,0.4200743494423792,0.061845140303097665,0,7,0
215-5_1140786,0.7442827442827443,0.895,0.6370106761565836,0.7117437722419929,1.0,10,2,5,3,0,81,5,5,0.693950177935943,0.04300966519824127,0,5,0
133-5_1136080,0.19723865877712032,0.27932960893854747,0.1524390243902439,0.5060975609756098,0.9273743016759777,2,0,2,0,13,162,11,9,0.43292682926829273,0.021056388899875895,1,8,0
102_1_1135554,0.58,0.8405797101449275,0.44274809160305345,0.5267175572519084,1.0,9,3,3,3,0,124,3,5,0.5152671755725191,0.03229427443543069,0,3,0
222-5_1142437,0.2513812154696133,0.2964169381107492,0.2182254196642686,0.709832134292566,0.9641693811074918,2,0,2,0,11,121,23,25,0.6282973621103117,0.0308082756557673,1,22,0
14_2_1143006,0.37267080745341613,0.7692307692307693,0.2459016393442623,0.319672131147541,1.0,3,0,2,1,0,83,4,6,0.28688524590163933,0.0406535857581828,0,4,0
137-5_1137439,0.06060606060606061,0.8,0.031496062992125984,0.03412073490813648,0.8666666666666667,8,0,0,8,4,736,2,2,0.026246719160105014,0.018113005979925025,0,2,0
200-5_1140454,0.3026315789473684,0.42592592592592593,0.23469387755102042,0.5306122448979592,0.9629629629629629,2,0,1,1,2,46,2,4,0.4897959183673469,0.13196125076952472,0,2,0
136-5_1137402,0.03713527851458886,0.4666666666666667,0.019337016574585635,0.04143646408839779,1.0,4,0,0,4,0,347,3,5,0.03314917127071826,0.026592001470782518,0,3,0
228_1142481,0.3346456692913386,0.8018867924528302,0.21144278606965175,0.2512437810945274,0.9528301886792453,5,0,2,3,5,301,7,14,0.2213930348258707,0.03741942277670667,0,7,0
207-5_1140680,0.15384615384615385,0.3333333333333333,0.1,0.3,1.0,2,0,2,0,0,119,6,9,0.2647058823529411,0.0699305541563276,0,6,0
14-5_1254359,0.029411764705882353,1.0,0.014925373134328358,0.014925373134328358,1.0,6,0,1,5,0,132,0,0,0.014925373134328401,0.0161586637397369,0,0,0
221_1142434,0.47959183673469385,0.6103896103896104,0.3949579831932773,0.6050420168067226,0.935064935064935,2,0,2,0,5,47,10,9,0.4789915966386554,0.020230525464890896,0,9,0
115-5_1135681,0.4869109947643979,0.7622950819672131,0.3576923076923077,0.46923076923076923,1.0,6,1,2,3,0,138,9,12,0.4346153846153846,0.07500797033680791,0,7,0
129-5_1136012,0.1103448275862069,0.3076923076923077,0.06722689075630252,0.20168067226890757,0.9230769230769231,4,0,1,3,2,95,4,4,0.1512605042016807,0.06059569255386121,0,4,0
112-5_1135675,0.04094488188976378,1.0,0.02090032154340836,0.02090032154340836,1.0,6,0,0,6,0,609,0,0,0.020900321543408373,0.04026652449280965,0,0,0
29-5-1_1271001,0.18518518518518517,0.7926829268292683,0.10483870967741936,0.12741935483870967,0.9634146341463414,59,5,8,46,6,1082,8,7,0.11612903225806448,0.06584485033103384,3,6,1
44-5_1142983,0.02696629213483146,0.75,0.013729977116704805,0.016018306636155607,0.875,6,0,0,6,1,430,1,1,0.011441647597253968,0.039806400155714176,0,1,0
212-5_1140774,0.4563106796116505,0.5356125356125356,0.3974630021141649,0.6300211416490487,0.8490028490028491,3,1,1,1,53,175,10,12,0.4968287526427061,0.09518097374162796,0,9,0
54.2-5_1142939,0.4811320754716981,0.75,0.3541666666666667,0.4722222222222222,1.0,2,0,2,0,0,76,5,9,0.4375,0.018250225437651965,0,5,0
36-5_1271134,0.37353433835845895,0.6211699164345403,0.26706586826347306,0.39401197604790417,0.9164345403899722,10,2,4,4,30,506,10,23,0.34610778443113777,0.037212366733038106,0,10,0
