,idf1,idp,idr,recall,precision,num_unique_objects,mostly_tracked,partially_tracked,mostly_lost,num_false_positives,num_misses,num_switches,num_fragmentations,mota,motp,num_transfer,num_ascend,num_migrate
101_1_1135531,0.5907172995780591,0.9655172413793104,0.425531914893617,0.44072948328267475,1.0,14,3,6,5,0,184,2,7,0.43465045592705165,0.14485503385262605,0,2,0
102_1_1135554,0.5969387755102041,0.9,0.44656488549618323,0.48854961832061067,0.9846153846153847,9,1,5,3,2,134,1,3,0.47709923664122134,0.16204600795039922,0,1,0
112-5_1135675,0.0,0.0,0.0,0.0,0.0,6,0,0,6,9,622,0,0,-0.014469453376205754,,0,0,0
115-5_1135681,0.36464088397790057,0.6470588235294118,0.25384615384615383,0.38846153846153847,0.9901960784313726,6,1,2,3,1,159,3,6,0.3730769230769231,0.15352524927333355,0,3,0
128-5_1135999,0.991304347826087,0.9827586206896551,1.0,1.0,0.9827586206896551,1,1,0,0,1,0,0,0,0.9824561403508771,0.1655969818414284,0,0,0
129-5_1136012,0.13432835820895522,0.6,0.07563025210084033,0.11764705882352941,0.9333333333333333,4,0,1,3,1,105,2,3,0.09243697478991597,0.3220485588661866,0,2,0
133-5_1136080,0.2898550724637681,0.45161290322580644,0.21341463414634146,0.4481707317073171,0.9483870967741935,2,0,2,0,8,181,5,9,0.4085365853658537,0.23147739394348174,0,5,0
136-5_1137402,0.01092896174863388,0.5,0.0055248618784530384,0.011049723756906077,1.0,4,0,0,4,0,358,2,2,0.0055248618784530246,0.3219184194076934,0,2,0
137-5_1137439,0.046153846153846156,1.0,0.023622047244094488,0.023622047244094488,1.0,8,0,0,8,0,744,0,1,0.023622047244094446,0.13516837896586958,0,0,0
14-5_1254359,0.029197080291970802,0.6666666666666666,0.014925373134328358,0.014925373134328358,0.6666666666666666,6,0,1,5,1,132,0,0,0.007462686567164201,0.25145693385187257,0,0,0
148-5_1138474,0.1245136186770428,0.7619047619047619,0.06779661016949153,0.08898305084745763,1.0,7,0,1,6,0,215,4,5,0.07203389830508478,0.23998678791326558,0,4,0
14_2_1143006,0.2631578947368421,0.6666666666666666,0.16393442622950818,0.2459016393442623,1.0,3,0,2,1,0,92,5,6,0.20491803278688525,0.12994085520151102,1,4,0
176-5_1138951,0.5473484848484849,0.8687374749498998,0.39953917050691246,0.45161290322580644,0.9819639278557114,15,2,7,6,18,1190,9,41,0.4391705069124424,0.20785066017633996,1,9,1
2-5_1273145,0.09411764705882353,1.0,0.04938271604938271,0.04938271604938271,1.0,2,0,0,2,0,154,0,1,0.04938271604938271,0.11016209441650318,0,0,0
200-5_1140454,0.32894736842105265,0.46296296296296297,0.25510204081632654,0.25510204081632654,0.46296296296296297,2,0,1,1,29,73,0,2,-0.04081632653061229,0.24977130984167914,0,0,0
203-5_1140485,0.07991360691144708,0.5,0.04342723004694836,0.057511737089201875,0.6621621621621622,6,0,0,6,25,803,2,10,0.025821596244131495,0.21420726999649442,0,2,0
207-5_1140680,0.13725490196078433,0.4117647058823529,0.08235294117647059,0.17647058823529413,0.8823529411764706,2,0,1,1,4,140,5,8,0.12352941176470589,0.2668295858809823,0,5,0
21-5_1254799,0.17880085653104924,0.6929460580912863,0.10264290104486785,0.14382298709280886,0.970954356846473,35,0,8,27,7,1393,8,15,0.13460356484326985,0.15459779620488537,1,8,1
212-5_1140774,0.6079182630906769,0.7677419354838709,0.5031712473572939,0.5602536997885835,0.8548387096774194,3,1,1,1,45,208,4,9,0.4566596194503171,0.21645265554328277,0,3,0
215-5_1140786,0.8893280632411067,1.0,0.800711743772242,0.800711743772242,1.0,10,4,3,3,0,56,0,1,0.800711743772242,0.15126499797816956,0,0,0
221_1142434,0.4943820224719101,0.7457627118644068,0.3697478991596639,0.48739495798319327,0.9830508474576272,2,0,2,0,1,61,5,5,0.4369747899159664,0.15510550124860617,1,4,0
222-5_1142437,0.3813682678311499,0.48518518518518516,0.31414868105515587,0.6402877697841727,0.9888888888888889,2,0,2,0,3,150,14,18,0.5995203836930456,0.13065403490316907,0,14,0
223-5_1142456,0.33424657534246577,0.6354166666666666,0.22676579925650558,0.3420074349442379,0.9583333333333334,2,0,1,1,4,177,4,10,0.31226765799256506,0.2204761699593833,0,4,0
228_1142481,0.2909090909090909,0.7741935483870968,0.1791044776119403,0.23134328358208955,1.0,5,0,2,3,0,309,2,6,0.22636815920398012,0.17057009421072764,0,2,0
29-5-1_1271001,0.21316165951359084,0.9430379746835443,0.12016129032258065,0.12338709677419354,0.9683544303797469,59,3,8,48,5,1087,3,3,0.11693548387096775,0.13007946106324472,1,3,1
36-5_1271134,0.4149908592321755,0.8764478764478765,0.2718562874251497,0.2994011976047904,0.9652509652509652,10,1,2,7,9,585,4,12,0.28383233532934127,0.23181903720252597,1,4,1
3_1142721,0.21359223300970873,0.7674418604651163,0.12406015037593984,0.12781954887218044,0.7906976744186046,3,0,1,2,9,232,1,3,0.09022556390977443,0.2298928371596456,0,1,0
44-5_1142983,0.01348314606741573,0.375,0.006864988558352402,0.009153318077803204,0.5,6,0,0,6,4,433,1,1,-0.0022883295194509046,0.17018274760846652,0,1,0
54.2-5_1142939,0.45098039215686275,0.7666666666666667,0.3194444444444444,0.4166666666666667,1.0,2,0,2,0,0,84,3,5,0.39583333333333337,0.1657605029685597,0,3,0
