,BT_idf1,BT_idp,BT_idr,BT_recall,BT_precision,BT_num_unique_objects,BT_mostly_tracked,BT_partially_tracked,BT_mostly_lost,BT_num_false_positives,BT_num_misses,BT_num_switches,BT_num_fragmentations,BT_mota,BT_motp,BT_num_transfer,BT_num_ascend,BT_num_migrate,DS_idf1,DS_idp,DS_idr,DS_recall,DS_precision,DS_num_unique_objects,DS_mostly_tracked,DS_partially_tracked,DS_mostly_lost,DS_num_false_positives,DS_num_misses,DS_num_switches,DS_num_fragmentations,DS_mota,DS_motp,DS_num_transfer,DS_num_ascend,DS_num_migrate
148-5_1138474,0.088,0.7857142857142857,0.0466101694915254,0.059322033898305,1.0,7,0,0,7,0,222,5,4,0.0381355932203389,0.025696804411127,1,3,0,0.1245136186770428,0.7619047619047619,0.0677966101694915,0.0889830508474576,1.0,7,0,1,6,0,215,4,5,0.0720338983050847,0.2399867879132655,0,4,0
176-5_1138951,0.245331616226658,0.407051282051282,0.1755760368663594,0.4271889400921659,0.9903846153846154,15,2,8,5,9,1243,77,89,0.3875576036866359,0.0546481881780754,6,69,1,0.5473484848484849,0.8687374749498998,0.3995391705069124,0.4516129032258064,0.9819639278557114,15,2,7,6,18,1190,9,41,0.4391705069124424,0.2078506601763399,1,9,1
3_1142721,0.1971014492753623,0.430379746835443,0.1278195488721804,0.2218045112781954,0.7468354430379747,3,0,2,1,20,207,6,11,0.1240601503759398,0.0507227862388418,0,6,0,0.2135922330097087,0.7674418604651163,0.1240601503759398,0.1278195488721804,0.7906976744186046,3,0,1,2,9,232,1,3,0.0902255639097744,0.2298928371596456,0,1,0
21-5_1254799,0.2315145334013258,0.6796407185628742,0.1395205900430239,0.2052858020897357,1.0,35,3,7,25,0,1293,21,30,0.1923786109403811,0.0340843729518351,2,20,2,0.1788008565310492,0.6929460580912863,0.1026429010448678,0.1438229870928088,0.970954356846473,35,0,8,27,7,1393,8,15,0.1346035648432698,0.1545977962048853,1,8,1
128-5_1135999,0.3783783783783784,0.3888888888888889,0.3684210526315789,0.8421052631578947,0.8888888888888888,1,1,0,0,6,9,3,3,0.6842105263157895,0.04852226128268,0,3,0,0.991304347826087,0.9827586206896552,1.0,1.0,0.9827586206896552,1,1,0,0,1,0,0,0,0.9824561403508772,0.1655969818414284,0,0,0
2-5_1273145,0.0470588235294117,0.5,0.0246913580246913,0.0493827160493827,1.0,2,0,0,2,0,154,3,3,0.0308641975308642,0.0598419673815733,0,2,0,0.0941176470588235,1.0,0.0493827160493827,0.0493827160493827,1.0,2,0,0,2,0,154,0,1,0.0493827160493827,0.1101620944165031,0,0,0
203-5_1140485,0.0594713656387665,0.4821428571428571,0.0316901408450704,0.0657276995305164,1.0,6,0,0,6,0,796,16,17,0.0469483568075117,0.0795099558272529,1,15,0,0.079913606911447,0.5,0.0434272300469483,0.0575117370892018,0.6621621621621622,6,0,0,6,25,803,2,10,0.0258215962441314,0.2142072699964944,0,2,0
101_1_1135531,0.7036328871892925,0.9484536082474226,0.5592705167173252,0.5896656534954408,1.0,14,4,7,3,0,135,5,8,0.574468085106383,0.0494829816227738,1,3,0,0.5907172995780591,0.9655172413793104,0.425531914893617,0.4407294832826747,1.0,14,3,6,5,0,184,2,7,0.4346504559270516,0.144855033852626,0,2,0
223-5_1142456,0.3496143958868895,0.5666666666666667,0.2527881040892193,0.4460966542750929,1.0,2,0,2,0,0,149,7,11,0.4200743494423792,0.0618451403030976,0,7,0,0.3342465753424657,0.6354166666666666,0.2267657992565055,0.3420074349442379,0.9583333333333334,2,0,1,1,4,177,4,10,0.312267657992565,0.2204761699593833,0,4,0
215-5_1140786,0.7442827442827443,0.895,0.6370106761565836,0.7117437722419929,1.0,10,2,5,3,0,81,5,5,0.693950177935943,0.0430096651982412,0,5,0,0.8893280632411067,1.0,0.800711743772242,0.800711743772242,1.0,10,4,3,3,0,56,0,1,0.800711743772242,0.1512649979781695,0,0,0
133-5_1136080,0.1972386587771203,0.2793296089385474,0.1524390243902439,0.5060975609756098,0.9273743016759776,2,0,2,0,13,162,11,9,0.4329268292682927,0.0210563888998758,1,8,0,0.2898550724637681,0.4516129032258064,0.2134146341463414,0.4481707317073171,0.9483870967741936,2,0,2,0,8,181,5,9,0.4085365853658537,0.2314773939434817,0,5,0
102_1_1135554,0.58,0.8405797101449275,0.4427480916030534,0.5267175572519084,1.0,9,3,3,3,0,124,3,5,0.5152671755725191,0.0322942744354306,0,3,0,0.5969387755102041,0.9,0.4465648854961832,0.4885496183206106,0.9846153846153848,9,1,5,3,2,134,1,3,0.4770992366412213,0.1620460079503992,0,1,0
