epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.958,1.49515,1.31522,1.2534,0.62305,0.37173,0.39736,0.21096,1.75349,1.79602,1.29614,0.000665726,0.000665726,0.000665726
2,630.667,1.43613,1.12349,1.21862,0.62993,0.36281,0.3765,0.19813,1.79915,1.59756,1.36268,0.00130601,0.00130601,0.00130601
3,945.846,1.39206,1.08466,1.19274,0.61505,0.37408,0.36994,0.18872,1.85424,1.58103,1.39637,0.0019199,0.0019199,0.0019199
4,1259.5,1.33972,0.98527,1.16689,0.67096,0.43085,0.46323,0.24686,1.73666,1.341,1.3354,0.0018812,0.0018812,0.0018812
5,1571.74,1.29312,0.91849,1.14269,0.70728,0.44935,0.50076,0.27178,1.69937,1.28038,1.28604,0.0018416,0.0018416,0.0018416
6,1884.65,1.23829,0.85556,1.11291,0.68165,0.41756,0.44524,0.24122,1.68692,1.31953,1.28291,0.001802,0.001802,0.001802
7,2197.05,1.1887,0.79597,1.08426,0.71044,0.46672,0.51039,0.28367,1.65979,1.21308,1.28295,0.0017624,0.0017624,0.0017624
8,2509.56,1.15997,0.75631,1.07529,0.69745,0.46045,0.49902,0.27698,1.64379,1.24088,1.27567,0.0017228,0.0017228,0.0017228
9,2822.16,1.13116,0.72724,1.05972,0.69643,0.44453,0.4872,0.26989,1.64222,1.27391,1.25177,0.0016832,0.0016832,0.0016832
10,3134.85,1.11357,0.71099,1.0497,0.72024,0.48555,0.52741,0.28883,1.6515,1.17915,1.27257,0.0016436,0.0016436,0.0016436
11,3447.7,1.09145,0.68451,1.04306,0.74193,0.48012,0.51815,0.29776,1.57911,1.18552,1.23943,0.001604,0.001604,0.001604
12,3760.39,1.07717,0.6653,1.0359,0.73539,0.47624,0.5172,0.28559,1.62197,1.18746,1.27155,0.0015644,0.0015644,0.0015644
13,4072.75,1.06014,0.64762,1.02733,0.69941,0.46715,0.50529,0.28303,1.64308,1.27826,1.2718,0.0015248,0.0015248,0.0015248
14,4385.13,1.03553,0.62417,1.01955,0.72277,0.48205,0.51693,0.29232,1.62628,1.17207,1.27217,0.0014852,0.0014852,0.0014852
15,4697.48,1.02702,0.61894,1.01326,0.73691,0.48028,0.52359,0.29838,1.60405,1.20242,1.26417,0.0014456,0.0014456,0.0014456
16,5010.13,1.00396,0.58921,1.00328,0.73127,0.47377,0.51896,0.29173,1.59714,1.16273,1.27366,0.001406,0.001406,0.001406
17,5322.64,0.99517,0.57804,1.00116,0.73998,0.4781,0.5348,0.30174,1.60847,1.20803,1.28997,0.0013664,0.0013664,0.0013664
18,5635.2,0.97646,0.56701,0.99228,0.76949,0.48812,0.54715,0.3085,1.59276,1.12201,1.27038,0.0013268,0.0013268,0.0013268
19,5947.72,0.96725,0.55356,0.98538,0.74584,0.48531,0.53483,0.30643,1.5642,1.13248,1.23559,0.0012872,0.0012872,0.0012872
20,6260.33,0.96188,0.54545,0.98104,0.71742,0.48269,0.52398,0.30666,1.55822,1.11092,1.25415,0.0012476,0.0012476,0.0012476
21,6572.87,0.94517,0.52985,0.98047,0.73312,0.48601,0.53963,0.31445,1.57512,1.14677,1.24011,0.001208,0.001208,0.001208
22,6885.66,0.93911,0.52434,0.97324,0.72938,0.49828,0.5418,0.31552,1.55625,1.13445,1.24772,0.0011684,0.0011684,0.0011684
